time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-05-14T05:13:50.990Z,36.473835,-121.0476685,0.35,2.56,md,29,76,,0.06,nc,nc73181375,2019-05-14T06:37:03.035Z,"11km SE of Pinnacles, CA",earthquake,0.22,0.86,0.16,32,automatic,nc,nc
2019-05-14T04:57:45.820Z,32.7815,-115.4385,10.91,2.51,ml,34,32,0.02476,0.24,ci,ci38593240,2019-05-14T05:38:50.778Z,"6km WSW of Holtville, CA",earthquake,0.37,0.71,0.186,26,automatic,ci,ci
2019-05-14T03:01:50.689Z,61.9116,-151.0489,54.8,2.8,ml,,,,0.58,ak,ak01965nt4l8,2019-05-14T03:08:57.635Z,"56km WNW of Willow, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-05-14T01:42:19.488Z,-6.4214,128.1634,344.96,4.3,mb,,94,5.084,0.91,us,us70003ks2,2019-05-14T01:56:45.040Z,"298km S of Amahusu, Indonesia",earthquake,11.5,15.6,0.188,8,reviewed,us,us
2019-05-14T01:13:47.880Z,31.677,-116.0585022,3.54,2.53,ml,16,297,0.3401,0.2,ci,ci38593056,2019-05-14T01:16:11.999Z,"48km E of Maneadero, B.C., MX",earthquake,4.87,4.08,0.209,26,automatic,ci,ci
2019-05-14T00:20:38.512Z,-12.8394,45.4457,10,5,mb,,52,6.378,0.84,us,us70003krt,2019-05-14T05:50:54.063Z,"18km ESE of Pamandzi, Mayotte",earthquake,8.7,1.8,0.065,76,reviewed,us,us
2019-05-13T23:23:45.035Z,-51.5688,139.298,10,4.9,mb,,76,14.666,0.87,us,us70003krl,2019-05-14T00:09:21.040Z,"Western Indian-Antarctic Ridge",earthquake,14.7,1.9,0.126,20,reviewed,us,us
2019-05-13T22:58:41.621Z,61.913,-151.0605,53,2.7,ml,,,,0.57,ak,ak01964bx7pf,2019-05-13T23:03:27.510Z,"56km WNW of Willow, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-05-13T21:27:31.709Z,37.5676,21.1705,10,4.5,mb,,95,1.716,0.98,us,us70003knu,2019-05-13T21:51:49.040Z,"26km WSW of Pyrgos, Greece",earthquake,3.9,1.9,0.071,58,reviewed,us,us
2019-05-13T21:22:53.415Z,66.1526,-141.8917,8.4,3.6,ml,,,,0.6,ak,ak01964b438l,2019-05-13T22:32:25.040Z,"105km ENE of Circle, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-05-13T21:01:00.121Z,43.4205,147.683,10,4.4,mb,,135,3.618,0.98,us,us70003kp5,2019-05-13T22:23:09.040Z,"88km ESE of Shikotan, Russia",earthquake,10.6,1.9,0.072,56,reviewed,us,us
2019-05-13T20:45:26.940Z,36.1251678,-117.6679993,2.58,3.17,ml,45,70,0.06719,0.14,ci,ci38592680,2019-05-13T21:56:51.922Z,"27km ENE of Coso Junction, CA",earthquake,0.21,0.5,0.205,21,reviewed,ci,ci
2019-05-13T20:45:26.823Z,36.1255,-117.6668,4.3,3,ml,14,172.74,0.389,0.1791,nn,nn00684677,2019-05-13T21:07:56.980Z,"46km NNW of Searles Valley, California",earthquake,,2.5,0.41,6,reviewed,nn,nn
2019-05-13T20:14:42.170Z,36.1215,-117.6693333,2.81,2.77,ml,29,63,0.07086,0.16,ci,ci38592608,2019-05-13T20:25:26.680Z,"26km ENE of Coso Junction, CA",earthquake,0.27,0.99,0.168,25,automatic,ci,ci
2019-05-13T19:24:02.220Z,18.151,-67.3408,14,3.28,md,21,208,0.2068,0.21,pr,pr2019133007,2019-05-13T20:48:07.316Z,"18km WNW of Puerto Real, Puerto Rico",earthquake,0.64,0.88,0.22,15,reviewed,pr,pr
2019-05-13T16:57:16.587Z,37.6721,21.2673,10,4.9,mb,,45,1.587,0.67,us,us70003kgm,2019-05-14T04:08:55.142Z,"12km SSW of Kardamas, Greece",earthquake,5.9,1.9,0.039,211,reviewed,us,us
2019-05-13T16:53:04.411Z,-3.017,130.3981,34.98,4.9,mww,,61,1.85,0.59,us,us70003kgl,2019-05-13T18:17:20.040Z,"168km ENE of Amahai, Indonesia",earthquake,5.6,5.8,0.075,17,reviewed,us,us
2019-05-13T16:41:26.623Z,-23.2667,-179.0903,418.07,4.5,mb,,107,6.111,0.8,us,us70003kgf,2019-05-13T18:11:29.040Z,"292km S of Ndoi Island, Fiji",earthquake,12.1,8.3,0.062,77,reviewed,us,us
2019-05-13T15:31:27.770Z,37.6121,21.2837,10,4.5,mb,,97,1.632,0.77,us,us70003kf8,2019-05-13T18:34:04.619Z,"15km WSW of Pyrgos, Greece",earthquake,6.1,1.9,0.093,34,reviewed,us,us
2019-05-13T12:54:21.193Z,-6.368,150.9204,10,5.3,mb,,84,2.491,1.11,us,us70003kdc,2019-05-13T20:10:54.351Z,"124km SE of Kimbe, Papua New Guinea",earthquake,7.7,1.9,0.052,124,reviewed,us,us
2019-05-13T12:42:27.850Z,38.7365,-119.7213333,-1.24,2.49,md,17,101,0.2596,0.12,nc,nc73181120,2019-05-14T00:27:04.078Z,"8km NE of Markleeville, CA",earthquake,0.39,2.39,0.265,17,reviewed,nc,nc
2019-05-13T12:41:53.114Z,-14.0779,-74.4393,83.45,5,mb,,138,3.13,1.24,us,us70003kct,2019-05-13T16:22:58.699Z,"76km NNW of Puquio, Peru",earthquake,9.5,3.4,0.052,120,reviewed,us,us
2019-05-13T12:01:10.494Z,-23.4381,-174.9597,10,5.2,mb,,40,6.391,1.78,us,us70003kcb,2019-05-13T12:20:55.040Z,"233km S of `Ohonua, Tonga",earthquake,9.5,1.9,0.032,314,reviewed,us,us
2019-05-13T11:38:15.011Z,-23.916,-179.5237,517.08,4.7,mb,,120,6.544,0.69,us,us70003kc7,2019-05-13T12:01:19.040Z,"South of the Fiji Islands",earthquake,13.1,8.3,0.081,46,reviewed,us,us
